,Unnamed: 0,surname,ethnicity
526,610,kollen,dutch
527,611,koning,dutch
528,612,kool,dutch
529,613,koole,dutch
530,614,koolen,dutch
531,615,kools,dutch
532,616,koopman,dutch
533,617,koumans,dutch
534,618,krusen,dutch
535,619,kuijpers,dutch
536,620,kuiper,dutch
537,621,kuipers,dutch
538,622,langbroek,dutch
539,623,lauwens,dutch
540,624,lauwers,dutch
541,625,leeuwenhoek,dutch
542,626,lucassen,dutch
543,627,maes,dutch
544,628,maessen,dutch
545,629,martens,dutch
546,630,meeuwe,dutch
547,631,meeuwes,dutch
548,632,meeuwessen,dutch
549,633,meeuweszen,dutch
550,634,meeuwis,dutch
551,635,meeuwissen,dutch
552,636,meeuwsen,dutch
553,637,merckx,dutch
554,638,michiels,dutch
555,639,mooren,dutch
556,640,mulder,dutch
557,641,muyskens,dutch
558,642,nelissen,dutch
559,643,nifterick,dutch
560,644,nifterik,dutch
561,645,niftrik,dutch
562,646,offermans,dutch
563,647,ogtrop,dutch
564,648,oomen,dutch
565,649,oorschot,dutch
566,650,otten,dutch
567,651,pander,dutch
568,652,panders,dutch
569,653,paulissen,dutch
570,654,pauwels,dutch
571,655,peerenboom,dutch
572,656,peeters,dutch
573,657,penders,dutch
574,658,pennders,dutch
575,659,penner,dutch
576,660,penners,dutch
577,661,peusen,dutch
578,662,prinsen,dutch
579,663,rademakers,dutch
580,664,ramaaker,dutch
581,665,ramaker,dutch
582,666,ramakers,dutch
583,667,ramecker,dutch
584,668,rameckers,dutch
585,669,reijnder,dutch
586,670,reijnders,dutch
587,671,reinder,dutch
588,672,reinders,dutch
589,673,reynder,dutch
590,674,reynders,dutch
591,675,rietveld,dutch
592,676,rijnder,dutch
593,677,rijnders,dutch
594,678,oggeveen,dutch
595,679,roijacker,dutch
596,680,roijackers,dutch
597,681,roijakker,dutch
598,682,roijakkers,dutch
599,683,romeijn,dutch
600,684,romeijnders,dutch
601,685,romeijnsen,dutch
602,686,romijn,dutch
603,687,romijnders,dutch
604,688,romijnsen,dutch
605,689,rompa,dutch
606,690,rooiakker,dutch
607,691,rooiakkers,dutch
608,692,rooijakker,dutch
609,693,rooijakkers,dutch
610,694,roosa,dutch
611,695,roosevelt,dutch
612,696,rutten,dutch
613,697,ryskamp,dutch
614,698,schneiders,dutch
615,699,schneijder,dutch
616,700,schoonenburg,dutch
617,701,schoonraad,dutch
618,702,schoorel,dutch
619,703,schoorl,dutch
620,704,schorel,dutch
621,705,schrijnemakers,dutch
622,706,schuyler,dutch
623,707,schwarzenberg,dutch
624,708,seegers,dutch
625,709,seelen,dutch
626,710,segers,dutch
627,711,seghers,dutch
628,712,severijns,dutch
629,713,severins,dutch
630,714,sevriens,dutch
631,715,simonis,dutch
632,716,slootmaekers,dutch
633,717,smeets,dutch
634,718,smets,dutch
635,719,smit,dutch
636,720,smits,dutch
637,721,snaaijer,dutch
638,722,snaijer,dutch
639,723,sneiders,dutch
640,724,sneijder,dutch
641,725,sneijders,dutch
642,726,sneijer,dutch
643,727,sneijers,dutch
644,728,snell,dutch
645,729,snijder,dutch
646,730,snijders,dutch
647,731,spijker,dutch
648,732,ter avest,dutch
649,733,teunissen,dutch
650,734,theunissen,dutch
651,735,tillens,dutch
652,736,van aalsburg,dutch
653,737,van aalst,dutch
654,738,van aarle,dutch
655,739,van achteren,dutch
656,740,van achthoven,dutch
657,741,van adrichem,dutch
658,742,van aggelen,dutch
659,743,van agteren,dutch
660,744,van agthoven,dutch
661,745,van akkeren,dutch
662,746,van aller,dutch
663,747,van alphen,dutch
664,748,van alst,dutch
665,749,van altena,dutch
666,750,van althuis,dutch
667,751,van amelsvoort,dutch
668,752,van amersvoort,dutch
669,753,van amstel,dutch
670,754,van andel,dutch
671,755,van ankeren,dutch
672,756,van antwerp,dutch
673,757,van antwerpen,dutch
674,758,van apeldoorn,dutch
675,759,van arendonk,dutch
676,760,van as,dutch
677,761,van asch,dutch
678,762,van assen,dutch
679,763,van baarle,dutch
680,764,van bokhoven,dutch
681,765,van breda,dutch
682,766,van bueren,dutch
683,767,van buggenum,dutch
684,768,van buren,dutch
685,769,van can,dutch
686,770,van cann,dutch
687,771,van daal,dutch
688,772,van daalen,dutch
689,773,van dael,dutch
690,774,van daele,dutch
691,775,van dale,dutch
692,776,vandale,dutch
693,777,van dalen,dutch
694,778,van de laar,dutch
695,779,van den akker,dutch
696,780,van den andel,dutch
697,781,van der aart,dutch
698,782,van der beek,dutch
699,783,van der berg,dutch
700,784,van der hout,dutch
701,785,van der laar,dutch
702,786,van der stoep,dutch
703,787,van der veen,dutch
704,788,van der ven,dutch
705,789,van der venne,dutch
706,790,van der vennen,dutch
707,791,van der zee,dutch
708,792,van de vliert,dutch
709,793,van donk,dutch
710,794,vandroogenbroeck,dutch
711,795,van hassel,dutch
712,796,van hautum,dutch
713,797,van heel,dutch
714,798,van herten,dutch
715,799,van hofwegen,dutch
716,800,van hoorn,dutch
717,801,van horn,dutch
718,802,van hout,dutch
719,803,van houte,dutch
720,804,van houtem,dutch
721,805,van houten,dutch
722,806,van houttum,dutch
723,807,van houtum,dutch
724,808,van kan,dutch
725,809,van kann,dutch
726,810,van laar,dutch
727,811,van laren,dutch
728,812,van leeuwenhoek,dutch
729,813,van middelburg,dutch
730,814,van nifterick,dutch
731,815,van nifterik,dutch
732,816,van niftrik,dutch
733,817,van ogtrop,dutch
734,818,van oirschot,dutch
735,819,van oorschot,dutch
736,820,van ophoven,dutch
737,821,van peij,dutch
738,822,van pey,dutch
739,823,van rompa,dutch
740,824,van rompaey,dutch
741,825,van rompay,dutch
742,826,van rompaye,dutch
743,827,van rompu,dutch
744,828,van rompuy,dutch
745,829,van rossem,dutch
746,830,van rossum,dutch
747,831,van schoorl,dutch
748,832,van 't hout,dutch
749,833,van tonder,dutch
750,834,van veen,dutch
751,835,van veenen,dutch
752,836,van wegberg,dutch
753,837,van wieren,dutch
754,838,van willigen,dutch
755,839,venner,dutch
756,840,verboom,dutch
757,841,vergoossen,dutch
758,842,verhoeven,dutch
759,843,vermeulen,dutch
760,844,ververs,dutch
761,845,vervloet,dutch
762,846,visscher,dutch
763,847,vogels,dutch
764,848,vossen,dutch
765,849,vroom,dutch
766,850,vroomen,dutch
767,851,wauters,dutch
768,852,westenberg,dutch
769,853,willems,dutch
770,854,willemse,dutch
771,855,willemsen,dutch
772,856,wilms,dutch
773,857,wolters,dutch
774,858,wouters,dutch
775,859,zaal,dutch
776,860,zeegers,dutch
777,861,zeelen,dutch
778,862,zegers,dutch
779,863,zuiderduin,dutch
780,864,abbey,english
781,865,abbott,english
782,866,abney,english
783,867,abram,english
784,868,abramson,english
785,869,ackerman,english
786,870,adair,english
787,871,adamson,english
788,872,adcock,english
789,873,addison,english
790,874,adkins,english
791,875,aiken,english
792,876,ainsworth,english
793,877,akerman,english
794,878,akers,english
795,879,albertson,english
796,880,alden,english
797,881,alexander,english
798,882,alfredson,english
799,883,alger,english
800,884,allsopp,english
801,885,alvey,english
802,886,alvin,english
803,887,anderson,english
804,888,andrews,english
805,889,andrewson,english
806,890,ansel,english
807,891,anson,english
808,892,anthonyson,english
809,893,appleby,english
810,894,appleton,english
811,895,apted,english
812,896,archer,english
813,897,arkwright,english
814,898,armistead,english
815,899,armstrong,english
816,900,arnold,english
817,901,arrington,english
818,902,arterberry,english
819,903,arterbury,english
820,904,arthurson,english
821,905,ash,english
822,906,ashley,english
823,907,ashworth,english
824,908,aston,english
825,909,atkins,english
826,910,atkinson,english
827,911,attaway,english
828,912,atteberry,english
829,913,atterberry,english
830,914,attwater,english
831,915,attwood,english
832,916,atwater,english
833,917,atwood,english
834,918,audley,english
835,919,augustine,english
836,920,austin,english
837,921,auteberry,english
838,922,averill,english
839,923,avery,english
840,924,ayers,english
841,925,aylmer,english
842,926,ayton,english
843,927,babcock,english
844,928,backus,english
845,929,badcock,english
846,930,bagley,english
847,931,bailey,english
848,932,bain,english
849,933,baker,english
850,934,baldwin,english
851,935,ball,english
852,936,bancroft,english
853,937,banister,english
854,938,banks,english
855,939,banner,english
856,940,bannerman,english
857,941,bannister,english
858,942,bardsley,english
859,943,barker,english
860,944,barlow,english
861,945,barnes,english
862,946,barnet,english
863,947,barnett,english
864,948,barr,english
865,949,barret,english
866,950,barrett,english
867,951,barton,english
868,952,bartram,english
869,953,bass,english
870,954,bates,english
871,955,bateson,english
872,956,battle,english
873,957,batts,english
874,958,baxter,english
875,959,beake,english
876,960,bean,english
877,961,beasley,english
878,962,becket,english
879,963,beckett,english
880,964,beckham,english
881,965,belcher,english
882,966,bell,english
883,967,benbow,english
884,968,benjaminson,english
885,969,benn,english
886,970,bennet,english
887,971,bennett,english
888,972,benson,english
889,973,bentley,english
890,974,benton,english
891,975,berry,english
892,976,beverley,english
893,977,beverly,english
894,978,bird,english
895,979,bishop,english
896,980,bisset,english
897,981,bissette,english
898,982,black,english
899,983,blackbourne,english
900,984,blackburn,english
901,985,blackman,english
902,986,blake,english
903,987,blakeslee,english
904,988,blakesley,english
905,989,bloodworth,english
906,990,bloxam,english
907,991,bloxham,english
908,992,blue,english
909,993,blythe,english
910,994,boatwright,english
911,995,bolton,english
912,996,bond,english
913,997,bone,english
914,998,bonham,english
915,999,bonner,english
916,1000,bonney,english
917,1001,boone,english
918,1002,booth,english
919,1003,boothman,english
920,1004,botterill,english
921,1005,botwright,english
922,1006,bourke,english
923,1007,bourne,english
924,1008,bowman,english
925,1009,boyce,english
926,1010,braddock,english
927,1011,bradford,english
928,1012,bradley,english
929,1013,brandon,english
930,1014,branson,english
931,1015,brasher,english
932,1016,brassington,english
933,1017,bray,english
934,1018,brent,english
935,1019,brett,english
936,1020,brewer,english
937,1021,brewster,english
938,1022,brice,english
939,1023,brigham,english
940,1024,bristol,english
941,1025,bristow,english
942,1026,brittain,english
943,1027,britton,english
944,1028,broadbent,english
945,1029,brock,english
946,1030,bronson,english
947,1031,brook,english
948,1032,brooke,english
949,1033,brooks,english
950,1034,brown,english
951,1035,browne,english
952,1036,brownlow,english
953,1037,bryan,english
954,1038,bryant,english
955,1039,bryce,english
956,1040,bryson,english
957,1041,bull,english
958,1042,bullard,english
959,1043,bullock,english
960,1044,bunker,english
961,1045,burnham,english
962,1046,burrell,english
963,1047,burton,english
964,1048,bush,english
965,1049,butcher,english
966,1050,butts,english
967,1051,byrd,english
968,1052,caldwell,english
969,1053,cannon,english
970,1054,cantrell,english
971,1055,carlisle,english
972,1056,carlyle,english
973,1057,carman,english
974,1058,carpenter,english
975,1059,carter,english
976,1060,cartwright,english
977,1061,carver,english
978,1062,castle,english
979,1063,caulfield,english
980,1064,causer,english
981,1065,causey,english
982,1066,chadwick,english
983,1067,chamberlain,english
984,1068,chambers,english
985,1069,chance,english
986,1070,chancellor,english
987,1071,chandler,english
988,1072,chapman,english
989,1073,chase,english
990,1074,cheshire,english
991,1075,chester,english
992,1076,christians,english
993,1077,christianson,english
994,1078,christinsen,english
995,1079,christison,english
996,1080,christopher,english
997,1081,christophers,english
998,1082,christopherson,english
999,1083,church,english
1000,1084,clark,english
1001,1085,clarke,english
1002,1086,clarkson,english
1003,1087,clay,english
1004,1088,clayton,english
1005,1089,clemens,english
1006,1090,clifford,english
1007,1091,clifton,english
1008,1092,clinton,english
1009,1093,close,english
1010,1094,cobb,english
1011,1095,cock,english
1012,1096,cocks,english
1013,1097,coke,english
1014,1098,cokes,english
1015,1099,cole,english
1016,1100,collingwood,english
1017,1101,colton,english
1018,1102,combs,english
1019,1103,comstock,english
1020,1104,conner,english
1021,1105,constable,english
1022,1106,cook,english
1023,1107,cooke,english
1024,1108,cookson,english
1025,1109,coombs,english
1026,1110,cooper,english
1027,1111,corey,english
1028,1112,cornell,english
1029,1113,cornett,english
1030,1114,corwin,english
1031,1115,cory,english
1032,1116,cotterill,english
1033,1117,coupe,english
1034,1118,courtenay,english
1035,1119,courtney,english
1036,1120,cowden,english
1037,1121,cox,english
1038,1122,coy,english
1039,1123,crawford,english
1040,1124,crewe,english
1041,1125,crisp,english
1042,1126,croft,english
1043,1127,cropper,english
1044,1128,cross,english
1045,1129,crouch,english
1046,1130,curtis,english
1047,1131,dabney,english
1048,1132,dale,english
1049,1133,dalton,english
1050,1134,dane,english
1051,1135,danell,english
1052,1136,daniell,english
1053,1137,daniels,english
1054,1138,danielson,english
1055,1139,dannel,english
1056,1140,danniel,english
1057,1141,danniell,english
1058,1142,darby,english
1059,1143,darrell,english
1060,1144,darwin,english
1061,1145,daubney,english
1062,1146,davids,english
1063,1147,davidson,english
1064,1148,davison,english
1065,1149,dawson,english
1066,1150,day,english
1067,1151,deadman,english
1068,1152,dean,english
1069,1153,debenham,english
1070,1154,dedrick,english
1071,1155,deering,english
1072,1156,denman,english
1073,1157,dennell,english
1074,1158,denzil,english
1075,1159,derby,english
1076,1160,derrick,english
1077,1161,derricks,english
1078,1162,derrickson,english
1079,1163,devereux,english
1080,1164,dexter,english
1081,1165,dick,english
1082,1166,dickens,english
1083,1167,dickenson,english
1084,1168,dickinson,english
1085,1169,dickman,english
1086,1170,dickson,english
1087,1171,disney,english
1088,1172,dixon,english
1089,1173,doctor,english
1090,1174,dodge,english
1091,1175,donalds,english
1092,1176,donaldson,english
1093,1177,dorsey,english
1094,1178,downer,english
1095,1179,drake,english
1096,1180,draper,english
1097,1181,dudley,english
1098,1182,duke,english
1099,1183,dukes,english
1100,1184,dustin,english
1101,1185,dwerryhouse,english
1102,1186,dwight,english
1103,1187,dyer,english
1104,1188,dyson,english
1105,1189,eads,english
1106,1190,earl,english
1107,1191,earls,english
1108,1192,easom,english
1109,1193,eason,english
1110,1194,easton,english
1111,1195,eaton,english
1112,1196,eccleston,english
1113,1197,ecclestone,english
1114,1198,edgar,english
1115,1199,edison,english
1116,1200,edwards,english
1117,1201,edwardson,english
1118,1202,elder,english
1119,1203,eldred,english
1120,1204,eldridge,english
1121,1205,eliot,english
1122,1206,eliott,english
1123,1207,ellery,english
1124,1208,elliot,english
1125,1209,elliott,english
1126,1210,ellison,english
1127,1211,ellisson,english
1128,1212,elliston,english
1129,1213,ellsworth,english
1130,1214,elmer,english
1131,1215,elvis,english
1132,1216,elwes,english
1133,1217,elwin,english
1134,1218,elwyn,english
1135,1219,ely,english
1136,1220,emerson,english
1137,1221,emmet,english
1138,1222,emmett,english
1139,1223,endicott,english
1140,1224,english,english
1141,1225,erickson,english
1142,1226,eustis,english
1143,1227,evanson,english
1144,1228,evelyn,english
1145,1229,evered,english
1146,1230,everett,english
1147,1231,everill,english
1148,1232,ewart,english
1149,1233,fairburn,english
1150,1234,fairchild,english
1151,1235,fairclough,english
1152,1236,farmer,english
1153,1237,farnham,english
1154,1238,fear,english
1155,1239,fenn,english
1156,1240,fiddler,english
1157,1241,fields,english
1158,1242,fishman,english
1159,1243,fitzroy,english
1160,1244,fleming,english
1161,1245,fletcher,english
1162,1246,ford,english
1163,1247,forester,english
1164,1248,forrest,english
1165,1249,fortune,english
1166,1250,foss,english
1167,1251,foster,english
1168,1252,fowler,english
1169,1253,fox,english
1170,1254,francis,english
1171,1255,franklin,english
1172,1256,franklyn,english
1173,1257,freeman,english
1174,1258,fry,english
1175,1259,frye,english
1176,1260,fuller,english
1177,1261,fulton,english
1178,1262,gabriels,english
1179,1263,gabrielson,english
1180,1264,garbutt,english
1181,1265,gardener,english
1182,1266,gardiner,english
1183,1267,gardner,english
1184,1268,garey,english
1185,1269,garfield,english
1186,1270,garland,english
1187,1271,garner,english
1188,1272,garnet,english
1189,1273,garnett,english
1190,1274,garrard,english
1191,1275,garret,english
1192,1276,garrett,english
1193,1277,garrod,english
1194,1278,garry,english
1195,1279,gary,english
1196,1280,geary,english
1197,1281,george,english
1198,1282,georgeson,english
1199,1283,gibb,english
1200,1284,giffard,english
1201,1285,gilbert,english
1202,1286,giles,english
1203,1287,gilliam,english
1204,1288,gladwin,english
1205,1289,gladwyn,english
1206,1290,glazier,english
1207,1291,glover,english
1208,1292,goddard,english
1209,1293,godfrey,english
1210,1294,goffe,english
1211,1295,good,english
1212,1296,goode,english
1213,1297,goodwin,english
1214,1298,gorbold,english
1215,1299,gore,english
1216,1300,granville,english
1217,1301,graves,english
1218,1302,gray,english
1219,1303,green,english
1220,1304,greene,english
1221,1305,gregory,english
1222,1306,grenville,english
1223,1307,grey,english
1224,1308,groves,english
1225,1309,gully,english
1226,1310,hackett,english
1227,1311,hadaway,english
1228,1312,haggard,english
1229,1313,haight,english
1230,1314,hailey,english
1231,1315,haines,english
1232,1316,hale,english
1233,1317,haley,english
1234,1318,hamm,english
1235,1319,hampson,english
1236,1320,hampton,english
1237,1321,hancock,english
1238,1322,hanley,english
1239,1323,hanson,english
1240,1324,harden,english
1241,1325,harding,english
1242,1326,hardwick,english
1243,1327,harford,english
1244,1328,hargrave,english
1245,1329,harlan,english
1246,1330,harland,english
1247,1331,harley,english
1248,1332,harlow,english
1249,1333,harmon,english
1250,1334,haroldson,english
1251,1335,harper,english
1252,1336,harrell,english
1253,1337,harrelson,english
1254,1338,harris,english
1255,1339,harrison,english
1256,1340,hart,english
1257,1341,hartell,english
1258,1342,harvey,english
1259,1343,hathaway,english
1260,1344,hatheway,english
1261,1345,hathoway,english
1262,1346,haward,english
1263,1347,hawk,english
1264,1348,hawking,english
1265,1349,hawkins,english
1266,1350,hayley,english
1267,1351,haynes,english
1268,1352,hayward,english
1269,1353,haywood,english
1270,1354,head,english
1271,1355,headley,english
1272,1356,heath,english
1273,1357,hedley,english
1274,1358,henry,english
1275,1359,henryson,english
1276,1360,henson,english
1277,1361,herbertson,english
1278,1362,hermanson,english
1279,1363,hewitt,english
1280,1364,hext,english
1281,1365,hibbert,english
1282,1366,hicks,english
1283,1367,hightower,english
1284,1368,hill,english
1285,1369,hillam,english
1286,1370,hilton,english
1287,1371,hobbes,english
1288,1372,hobbs,english
1289,1373,hobson,english
1290,1374,hodges,english
1291,1375,hodson,english
1292,1376,hogarth,english
1293,1377,holland,english
1294,1378,hollands,english
1295,1379,hollins,english
1296,1380,holmwood,english
1297,1381,honeycutt,english
1298,1382,honeysett,english
1299,1383,hooker,english
1300,1384,hooper,english
1301,1385,hope,english
1302,1386,hopkins,english
1303,1387,hopper,english
1304,1388,hopson,english
1305,1389,horne,english
1306,1390,horsfall,english
1307,1391,horton,english
1308,1392,house,english
1309,1393,howard,english
1310,1394,howe,english
1311,1395,howland,english
1312,1396,howse,english
1313,1397,huddleson,english
1314,1398,huddleston,english
1315,1399,hudnall,english
1316,1400,hudson,english
1317,1401,hull,english
1318,1402,humphrey,english
1319,1403,hunnisett,english
1320,1404,hunt,english
1321,1405,hurst,english
1322,1406,hutson,english
1323,1407,huxley,english
1324,1408,huxtable,english
1325,1409,ianson,english
1326,1410,ibbot,english
1327,1411,ibbott,english
1328,1412,ikin,english
1329,1413,ilbert,english
1330,1414,ingham,english
1331,1415,ingram,english
1332,1416,irvin,english
1333,1417,irwin,english
1334,1418,isaacson,english
1335,1419,jackson,english
1336,1420,jacobson,english
1337,1421,jakeman,english
1338,1422,james,english
1339,1423,jameson,english
1340,1424,jamison,english
1341,1425,jarrett,english
1342,1426,jarvis,english
1343,1427,jeanes,english
1344,1428,jeffers,english
1345,1429,jefferson,english
1346,1430,jeffery,english
1347,1431,jeffries,english
1348,1432,jekyll,english
1349,1433,jenkins,english
1350,1434,jennings,english
1351,1435,jephson,english
1352,1436,jepson,english
1353,1437,jerome,english
1354,1438,jervis,english
1355,1439,jewel,english
1356,1440,jewell,english
1357,1441,jinks,english
1358,1442,johns,english
1359,1443,johnson,english
1360,1444,joiner,english
1361,1445,josephs,english
1362,1446,josephson,english
1363,1447,joyner,english
1364,1448,judd,english
1365,1449,kay,english
1366,1450,keen,english
1367,1451,keighley,english
1368,1452,kellogg,english
1369,1453,kelsey,english
1370,1454,kemp,english
1371,1455,kendal,english
1372,1456,kendall,english
1373,1457,kennard,english
1374,1458,kerry,english
1375,1459,kersey,english
1376,1460,kevins,english
1377,1461,kevinson,english
1378,1462,key,english
1379,1463,keys,english
1380,1464,killam,english
1381,1465,kimball,english
1382,1466,kimberley,english
1383,1467,kimberly,english
1384,1468,king,english
1385,1469,kingsley,english
1386,1470,kingston,english
1387,1471,kinsley,english
1388,1472,kipling,english
1389,1473,kirby,english
1390,1474,kitchen,english
1391,1475,kitchens,english
1392,1476,knaggs,english
1393,1477,knight,english
1394,1478,kynaston,english
1395,1479,lacey,english
1396,1480,lacy,english
1397,1481,landon,english
1398,1482,langdon,english
1399,1483,langley,english
1400,1484,larson,english
1401,1485,law,english
1402,1486,lawrence,english
1403,1487,lawson,english
1404,1488,layton,english
1405,1489,leach,english
1406,1490,leavitt,english
1407,1491,ledford,english
1408,1492,leigh,english
1409,1493,leighton,english
1410,1494,leonard,english
1411,1495,leonardson,english
1412,1496,levitt,english
1413,1497,lewin,english
1414,1498,leyton,english
1415,1499,lincoln,english
1416,1500,lindon,english
1417,1501,linton,english
1418,1502,linwood,english
1419,1503,little,english
1420,1504,lockwood,english
1421,1505,loman,english
1422,1506,london,english
1423,1507,long,english
1424,1508,longstaff,english
1425,1509,love,english
1426,1510,lovel,english
1427,1511,lovell,english
1428,1512,lowell,english
1429,1513,lukeson,english
1430,1514,lum,english
1431,1515,lyndon,english
1432,1516,lynn,english
1433,1517,lynton,english
1434,1518,lynwood,english
1435,1519,macey,english
1436,1520,macy,english
1437,1521,maddison,english
1438,1522,madison,english
1439,1523,mallory,english
1440,1524,mark,english
1441,1525,marley,english
1442,1526,marlow,english
1443,1527,marlowe,english
